coordinates
"-37.8136,144.9631"
"-37.8183,144.9689"
"-37.7993,144.9787"
"-37.7976,144.9790"
"-37.8030,144.9469"
"-37.8409,144.9465"
"-37.8485,144.9934"
"-37.8550,144.9931"
"-37.8150,144.9850"
"-37.8251,144.9563"
"-37.8676,144.9810"
"-37.8673,144.9806"
"-37.8397,144.9400"
"-37.8679,144.9817"
"-37.8770,145.0004"
"-37.8416,144.9987"
"-37.7665,144.9664"
"-37.7757,144.9620"
"-37.7373,144.9631"
"-37.7544,144.9319"
"-37.8070,144.9940"
"-37.7705,145.0023"
"-37.7497,145.0200"
"-37.7386,145.0043"
"-37.7764,144.9285"
"-37.7912,144.9187"
"-37.8062,144.9100"
"-37.7640,144.9190"
"-37.7791,144.9259"
"-37.8098,145.0325"
"-37.8026,145.0250"
"-37.8425,145.0531"
"-37.8560,145.0205"
"-37.8597,145.0790"
"-37.8767,145.0420"
"-37.8679,145.0308"
"-37.8826,145.0364"
"-37.8591,145.0582"
"-37.9025,145.0016"
"-37.9165,145.0367"
"-37.9104,145.0170"
"-37.9150,145.0320"
"-37.9168,144.9962"
